Generator,bus,p_nom_extendable,sign,carrier
BG unsustainable bioliquids,BG unsustainable bioliquids,False,1.0,unsustainable bioliquids
CH unsustainable bioliquids,CH unsustainable bioliquids,False,1.0,unsustainable bioliquids
CZ unsustainable bioliquids,CZ unsustainable bioliquids,False,1.0,unsustainable bioliquids
DE unsustainable bioliquids,DE unsustainable bioliquids,False,1.0,unsustainable bioliquids
DK unsustainable bioliquids,DK unsustainable bioliquids,False,1.0,unsustainable bioliquids
EE unsustainable bioliquids,EE unsustainable bioliquids,False,1.0,unsustainable bioliquids
ES unsustainable bioliquids,ES unsustainable bioliquids,False,1.0,unsustainable bioliquids
FI unsustainable bioliquids,FI unsustainable bioliquids,False,1.0,unsustainable bioliquids
FR unsustainable bioliquids,FR unsustainable bioliquids,False,1.0,unsustainable bioliquids
GB unsustainable bioliquids,GB unsustainable bioliquids,False,1.0,unsustainable bioliquids
GBI unsustainable bioliquids,GBI unsustainable bioliquids,False,1.0,unsustainable bioliquids
GR unsustainable bioliquids,GR unsustainable bioliquids,False,1.0,unsustainable bioliquids
HR unsustainable bioliquids,HR unsustainable bioliquids,False,1.0,unsustainable bioliquids
HU unsustainable bioliquids,HU unsustainable bioliquids,False,1.0,unsustainable bioliquids
IE unsustainable bioliquids,IE unsustainable bioliquids,False,1.0,unsustainable bioliquids
IT unsustainable bioliquids,IT unsustainable bioliquids,False,1.0,unsustainable bioliquids
LT unsustainable bioliquids,LT unsustainable bioliquids,False,1.0,unsustainable bioliquids
LU unsustainable bioliquids,LU unsustainable bioliquids,False,1.0,unsustainable bioliquids
LV unsustainable bioliquids,LV unsustainable bioliquids,False,1.0,unsustainable bioliquids
ME unsustainable bioliquids,ME unsustainable bioliquids,False,1.0,unsustainable bioliquids
MK unsustainable bioliquids,MK unsustainable bioliquids,False,1.0,unsustainable bioliquids
NL unsustainable bioliquids,NL unsustainable bioliquids,False,1.0,unsustainable bioliquids
NO unsustainable bioliquids,NO unsustainable bioliquids,False,1.0,unsustainable bioliquids
PL unsustainable bioliquids,PL unsustainable bioliquids,False,1.0,unsustainable bioliquids
PT unsustainable bioliquids,PT unsustainable bioliquids,False,1.0,unsustainable bioliquids
RO unsustainable bioliquids,RO unsustainable bioliquids,False,1.0,unsustainable bioliquids
RS unsustainable bioliquids,RS unsustainable bioliquids,False,1.0,unsustainable bioliquids
SE unsustainable bioliquids,SE unsustainable bioliquids,False,1.0,unsustainable bioliquids
SI unsustainable bioliquids,SI unsustainable bioliquids,False,1.0,unsustainable bioliquids
SK unsustainable bioliquids,SK unsustainable bioliquids,False,1.0,unsustainable bioliquids
XK unsustainable bioliquids,XK unsustainable bioliquids,False,1.0,unsustainable bioliquids
AL solid biomass transported,AL solid biomass,False,1.0,solid biomass
AT solid biomass transported,AT solid biomass,False,1.0,solid biomass
BA solid biomass transported,BA solid biomass,False,1.0,solid biomass
BE solid biomass transported,BE solid biomass,False,1.0,solid biomass
BG solid biomass transported,BG solid biomass,False,1.0,solid biomass
CH solid biomass transported,CH solid biomass,False,1.0,solid biomass
CZ solid biomass transported,CZ solid biomass,False,1.0,solid biomass
DE solid biomass transported,DE solid biomass,False,1.0,solid biomass
DK solid biomass transported,DK solid biomass,False,1.0,solid biomass
EE solid biomass transported,EE solid biomass,False,1.0,solid biomass
ES solid biomass transported,ES solid biomass,False,1.0,solid biomass
FI solid biomass transported,FI solid biomass,False,1.0,solid biomass
FR solid biomass transported,FR solid biomass,False,1.0,solid biomass
GB solid biomass transported,GB solid biomass,False,1.0,solid biomass
GBI solid biomass transported,GBI solid biomass,False,1.0,solid biomass
GR solid biomass transported,GR solid biomass,False,1.0,solid biomass
HR solid biomass transported,HR solid biomass,False,1.0,solid biomass
HU solid biomass transported,HU solid biomass,False,1.0,solid biomass
IE solid biomass transported,IE solid biomass,False,1.0,solid biomass
IT solid biomass transported,IT solid biomass,False,1.0,solid biomass
LT solid biomass transported,LT solid biomass,False,1.0,solid biomass
LU solid biomass transported,LU solid biomass,False,1.0,solid biomass
LV solid biomass transported,LV solid biomass,False,1.0,solid biomass
ME solid biomass transported,ME solid biomass,False,1.0,solid biomass
MK solid biomass transported,MK solid biomass,False,1.0,solid biomass
NL solid biomass transported,NL solid biomass,False,1.0,solid biomass
NO solid biomass transported,NO solid biomass,False,1.0,solid biomass
PL solid biomass transported,PL solid biomass,False,1.0,solid biomass
PT solid biomass transported,PT solid biomass,False,1.0,solid biomass
RO solid biomass transported,RO solid biomass,False,1.0,solid biomass
RS solid biomass transported,RS solid biomass,False,1.0,solid biomass
SE solid biomass transported,SE solid biomass,False,1.0,solid biomass
SI solid biomass transported,SI solid biomass,False,1.0,solid biomass
SK solid biomass transported,SK solid biomass,False,1.0,solid biomass
XK solid biomass transported,XK solid biomass,False,1.0,solid biomass
AL unsustainable solid biomass transported,AL solid biomass,False,1.0,unsustainable solid biomass
AT unsustainable solid biomass transported,AT solid biomass,False,1.0,unsustainable solid biomass
BA unsustainable solid biomass transported,BA solid biomass,False,1.0,unsustainable solid biomass
BE unsustainable solid biomass transported,BE solid biomass,False,1.0,unsustainable solid biomass
BG unsustainable solid biomass transported,BG solid biomass,False,1.0,unsustainable solid biomass
CH unsustainable solid biomass transported,CH solid biomass,False,1.0,unsustainable solid biomass
CZ unsustainable solid biomass transported,CZ solid biomass,False,1.0,unsustainable solid biomass
DE unsustainable solid biomass transported,DE solid biomass,False,1.0,unsustainable solid biomass
DK unsustainable solid biomass transported,DK solid biomass,False,1.0,unsustainable solid biomass
EE unsustainable solid biomass transported,EE solid biomass,False,1.0,unsustainable solid biomass
ES unsustainable solid biomass transported,ES solid biomass,False,1.0,unsustainable solid biomass
FI unsustainable solid biomass transported,FI solid biomass,False,1.0,unsustainable solid biomass
FR unsustainable solid biomass transported,FR solid biomass,False,1.0,unsustainable solid biomass
GB unsustainable solid biomass transported,GB solid biomass,False,1.0,unsustainable solid biomass
GBI unsustainable solid biomass transported,GBI solid biomass,False,1.0,unsustainable solid biomass
GR unsustainable solid biomass transported,GR solid biomass,False,1.0,unsustainable solid biomass
HR unsustainable solid biomass transported,HR solid biomass,False,1.0,unsustainable solid biomass
HU unsustainable solid biomass transported,HU solid biomass,False,1.0,unsustainable solid biomass
IE unsustainable solid biomass transported,IE solid biomass,False,1.0,unsustainable solid biomass
IT unsustainable solid biomass transported,IT solid biomass,False,1.0,unsustainable solid biomass
LT unsustainable solid biomass transported,LT solid biomass,False,1.0,unsustainable solid biomass
LU unsustainable solid biomass transported,LU solid biomass,False,1.0,unsustainable solid biomass
LV unsustainable solid biomass transported,LV solid biomass,False,1.0,unsustainable solid biomass
ME unsustainable solid biomass transported,ME solid biomass,False,1.0,unsustainable solid biomass
MK unsustainable solid biomass transported,MK solid biomass,False,1.0,unsustainable solid biomass
NL unsustainable solid biomass transported,NL solid biomass,False,1.0,unsustainable solid biomass
NO unsustainable solid biomass transported,NO solid biomass,False,1.0,unsustainable solid biomass
PL unsustainable solid biomass transported,PL solid biomass,False,1.0,unsustainable solid biomass
PT unsustainable solid biomass transported,PT solid biomass,False,1.0,unsustainable solid biomass
RO unsustainable solid biomass transported,RO solid biomass,False,1.0,unsustainable solid biomass
RS unsustainable solid biomass transported,RS solid biomass,False,1.0,unsustainable solid biomass
SE unsustainable solid biomass transported,SE solid biomass,False,1.0,unsustainable solid biomass
SI unsustainable solid biomass transported,SI solid biomass,False,1.0,unsustainable solid biomass
SK unsustainable solid biomass transported,SK solid biomass,False,1.0,unsustainable solid biomass
XK unsustainable solid biomass transported,XK solid biomass,False,1.0,unsustainable solid biomass
EU coal,EU coal,True,1.0,coal
AL 0 solar rooftop,AL low voltage,True,1.0,solar rooftop
AT 0 solar rooftop,AT low voltage,True,1.0,solar rooftop
BA 0 solar rooftop,BA low voltage,True,1.0,solar rooftop
BE 0 solar rooftop,BE low voltage,True,1.0,solar rooftop
BG 0 solar rooftop,BG low voltage,True,1.0,solar rooftop
CH 0 solar rooftop,CH low voltage,True,1.0,solar rooftop
CZ 0 solar rooftop,CZ low voltage,True,1.0,solar rooftop
DE 0 solar rooftop,DE low voltage,True,1.0,solar rooftop
DK 0 solar rooftop,DK low voltage,True,1.0,solar rooftop
EE 0 solar rooftop,EE low voltage,True,1.0,solar rooftop
ES 0 solar rooftop,ES low voltage,True,1.0,solar rooftop
FI 0 solar rooftop,FI low voltage,True,1.0,solar rooftop
FR 0 solar rooftop,FR low voltage,True,1.0,solar rooftop
GB 0 solar rooftop,GB low voltage,True,1.0,solar rooftop
GBI 0 solar rooftop,GBI low voltage,True,1.0,solar rooftop
GR 0 solar rooftop,GR low voltage,True,1.0,solar rooftop
HR 0 solar rooftop,HR low voltage,True,1.0,solar rooftop
HU 0 solar rooftop,HU low voltage,True,1.0,solar rooftop
IE 0 solar rooftop,IE low voltage,True,1.0,solar rooftop
IT 0 solar rooftop,IT low voltage,True,1.0,solar rooftop
LT 0 solar rooftop,LT low voltage,True,1.0,solar rooftop
LU 0 solar rooftop,LU low voltage,True,1.0,solar rooftop
LV 0 solar rooftop,LV low voltage,True,1.0,solar rooftop
ME 0 solar rooftop,ME low voltage,True,1.0,solar rooftop
MK 0 solar rooftop,MK low voltage,True,1.0,solar rooftop
NL 0 solar rooftop,NL low voltage,True,1.0,solar rooftop
NO 0 solar rooftop,NO low voltage,True,1.0,solar rooftop
PL 0 solar rooftop,PL low voltage,True,1.0,solar rooftop
PT 0 solar rooftop,PT low voltage,True,1.0,solar rooftop
RO 0 solar rooftop,RO low voltage,True,1.0,solar rooftop
RS 0 solar rooftop,RS low voltage,True,1.0,solar rooftop
SE 0 solar rooftop,SE low voltage,True,1.0,solar rooftop
SI 0 solar rooftop,SI low voltage,True,1.0,solar rooftop
SK 0 solar rooftop,SK low voltage,True,1.0,solar rooftop
XK 0 solar rooftop,XK low voltage,True,1.0,solar rooftop
AL rural heat vent,AL rural heat,True,1.0,rural heat vent
AL rural solar thermal collector,AL rural heat,True,1.0,rural solar thermal
AL rural solar thermal collector electricity-only,AL electricity rural heat,True,1.0,rural solar thermal
AL urban decentral heat vent,AL urban decentral heat,True,1.0,urban decentral heat vent
AL urban decentral solar thermal collector,AL urban decentral heat,True,1.0,urban decentral solar thermal
AL urban decentral solar thermal collector electricity-only,AL electricity urban decentral heat,True,1.0,urban decentral solar thermal
AT rural heat vent,AT rural heat,True,1.0,rural heat vent
AT rural solar thermal collector,AT rural heat,True,1.0,rural solar thermal
AT rural solar thermal collector electricity-only,AT electricity rural heat,True,1.0,rural solar thermal
AT urban decentral heat vent,AT urban decentral heat,True,1.0,urban decentral heat vent
AT urban decentral solar thermal collector,AT urban decentral heat,True,1.0,urban decentral solar thermal
AT urban decentral solar thermal collector electricity-only,AT electricity urban decentral heat,True,1.0,urban decentral solar thermal
BA rural heat vent,BA rural heat,True,1.0,rural heat vent
BA rural solar thermal collector,BA rural heat,True,1.0,rural solar thermal
BA rural solar thermal collector electricity-only,BA electricity rural heat,True,1.0,rural solar thermal
BA urban decentral heat vent,BA urban decentral heat,True,1.0,urban decentral heat vent
BA urban decentral solar thermal collector,BA urban decentral heat,True,1.0,urban decentral solar thermal
BA urban decentral solar thermal collector electricity-only,BA electricity urban decentral heat,True,1.0,urban decentral solar thermal
BE rural heat vent,BE rural heat,True,1.0,rural heat vent
BE rural solar thermal collector,BE rural heat,True,1.0,rural solar thermal
BE rural solar thermal collector electricity-only,BE electricity rural heat,True,1.0,rural solar thermal
BE urban decentral heat vent,BE urban decentral heat,True,1.0,urban decentral heat vent
BE urban decentral solar thermal collector,BE urban decentral heat,True,1.0,urban decentral solar thermal
BE urban decentral solar thermal collector electricity-only,BE electricity urban decentral heat,True,1.0,urban decentral solar thermal
BG rural heat vent,BG rural heat,True,1.0,rural heat vent
BG rural solar thermal collector,BG rural heat,True,1.0,rural solar thermal
BG rural solar thermal collector electricity-only,BG electricity rural heat,True,1.0,rural solar thermal
BG urban decentral heat vent,BG urban decentral heat,True,1.0,urban decentral heat vent
BG urban decentral solar thermal collector,BG urban decentral heat,True,1.0,urban decentral solar thermal
BG urban decentral solar thermal collector electricity-only,BG electricity urban decentral heat,True,1.0,urban decentral solar thermal
CH rural heat vent,CH rural heat,True,1.0,rural heat vent
CH rural solar thermal collector,CH rural heat,True,1.0,rural solar thermal
CH rural solar thermal collector electricity-only,CH electricity rural heat,True,1.0,rural solar thermal
CH urban decentral heat vent,CH urban decentral heat,True,1.0,urban decentral heat vent
CH urban decentral solar thermal collector,CH urban decentral heat,True,1.0,urban decentral solar thermal
CH urban decentral solar thermal collector electricity-only,CH electricity urban decentral heat,True,1.0,urban decentral solar thermal
CZ rural heat vent,CZ rural heat,True,1.0,rural heat vent
CZ rural solar thermal collector,CZ rural heat,True,1.0,rural solar thermal
CZ rural solar thermal collector electricity-only,CZ electricity rural heat,True,1.0,rural solar thermal
CZ urban decentral heat vent,CZ urban decentral heat,True,1.0,urban decentral heat vent
CZ urban decentral solar thermal collector,CZ urban decentral heat,True,1.0,urban decentral solar thermal
CZ urban decentral solar thermal collector electricity-only,CZ electricity urban decentral heat,True,1.0,urban decentral solar thermal
DE rural heat vent,DE rural heat,True,1.0,rural heat vent
DE rural solar thermal collector,DE rural heat,True,1.0,rural solar thermal
DE rural solar thermal collector electricity-only,DE electricity rural heat,True,1.0,rural solar thermal
DE urban decentral heat vent,DE urban decentral heat,True,1.0,urban decentral heat vent
DE urban decentral solar thermal collector,DE urban decentral heat,True,1.0,urban decentral solar thermal
DE urban decentral solar thermal collector electricity-only,DE electricity urban decentral heat,True,1.0,urban decentral solar thermal
DK rural heat vent,DK rural heat,True,1.0,rural heat vent
DK rural solar thermal collector,DK rural heat,True,1.0,rural solar thermal
DK rural solar thermal collector electricity-only,DK electricity rural heat,True,1.0,rural solar thermal
DK urban decentral heat vent,DK urban decentral heat,True,1.0,urban decentral heat vent
DK urban decentral solar thermal collector,DK urban decentral heat,True,1.0,urban decentral solar thermal
DK urban decentral solar thermal collector electricity-only,DK electricity urban decentral heat,True,1.0,urban decentral solar thermal
EE rural heat vent,EE rural heat,True,1.0,rural heat vent
EE rural solar thermal collector,EE rural heat,True,1.0,rural solar thermal
EE rural solar thermal collector electricity-only,EE electricity rural heat,True,1.0,rural solar thermal
EE urban decentral heat vent,EE urban decentral heat,True,1.0,urban decentral heat vent
EE urban decentral solar thermal collector,EE urban decentral heat,True,1.0,urban decentral solar thermal
EE urban decentral solar thermal collector electricity-only,EE electricity urban decentral heat,True,1.0,urban decentral solar thermal
ES rural heat vent,ES rural heat,True,1.0,rural heat vent
ES rural solar thermal collector,ES rural heat,True,1.0,rural solar thermal
ES rural solar thermal collector electricity-only,ES electricity rural heat,True,1.0,rural solar thermal
ES urban decentral heat vent,ES urban decentral heat,True,1.0,urban decentral heat vent
ES urban decentral solar thermal collector,ES urban decentral heat,True,1.0,urban decentral solar thermal
ES urban decentral solar thermal collector electricity-only,ES electricity urban decentral heat,True,1.0,urban decentral solar thermal
FI rural heat vent,FI rural heat,True,1.0,rural heat vent
FI rural solar thermal collector,FI rural heat,True,1.0,rural solar thermal
FI rural solar thermal collector electricity-only,FI electricity rural heat,True,1.0,rural solar thermal
FI urban decentral heat vent,FI urban decentral heat,True,1.0,urban decentral heat vent
FI urban decentral solar thermal collector,FI urban decentral heat,True,1.0,urban decentral solar thermal
FI urban decentral solar thermal collector electricity-only,FI electricity urban decentral heat,True,1.0,urban decentral solar thermal
FR rural heat vent,FR rural heat,True,1.0,rural heat vent
FR rural solar thermal collector,FR rural heat,True,1.0,rural solar thermal
FR rural solar thermal collector electricity-only,FR electricity rural heat,True,1.0,rural solar thermal
FR urban decentral heat vent,FR urban decentral heat,True,1.0,urban decentral heat vent
FR urban decentral solar thermal collector,FR urban decentral heat,True,1.0,urban decentral solar thermal
FR urban decentral solar thermal collector electricity-only,FR electricity urban decentral heat,True,1.0,urban decentral solar thermal
GB rural heat vent,GB rural heat,True,1.0,rural heat vent
GB rural solar thermal collector,GB rural heat,True,1.0,rural solar thermal
GB rural solar thermal collector electricity-only,GB electricity rural heat,True,1.0,rural solar thermal
GB urban decentral heat vent,GB urban decentral heat,True,1.0,urban decentral heat vent
GB urban decentral solar thermal collector,GB urban decentral heat,True,1.0,urban decentral solar thermal
GB urban decentral solar thermal collector electricity-only,GB electricity urban decentral heat,True,1.0,urban decentral solar thermal
GBI rural heat vent,GBI rural heat,True,1.0,rural heat vent
GBI rural solar thermal collector,GBI rural heat,True,1.0,rural solar thermal
GBI rural solar thermal collector electricity-only,GBI electricity rural heat,True,1.0,rural solar thermal
GBI urban decentral heat vent,GBI urban decentral heat,True,1.0,urban decentral heat vent
GBI urban decentral solar thermal collector,GBI urban decentral heat,True,1.0,urban decentral solar thermal
GBI urban decentral solar thermal collector electricity-only,GBI electricity urban decentral heat,True,1.0,urban decentral solar thermal
GR rural heat vent,GR rural heat,True,1.0,rural heat vent
GR rural solar thermal collector,GR rural heat,True,1.0,rural solar thermal
GR rural solar thermal collector electricity-only,GR electricity rural heat,True,1.0,rural solar thermal
GR urban decentral heat vent,GR urban decentral heat,True,1.0,urban decentral heat vent
GR urban decentral solar thermal collector,GR urban decentral heat,True,1.0,urban decentral solar thermal
GR urban decentral solar thermal collector electricity-only,GR electricity urban decentral heat,True,1.0,urban decentral solar thermal
HR rural heat vent,HR rural heat,True,1.0,rural heat vent
HR rural solar thermal collector,HR rural heat,True,1.0,rural solar thermal
HR rural solar thermal collector electricity-only,HR electricity rural heat,True,1.0,rural solar thermal
HR urban decentral heat vent,HR urban decentral heat,True,1.0,urban decentral heat vent
HR urban decentral solar thermal collector,HR urban decentral heat,True,1.0,urban decentral solar thermal
HR urban decentral solar thermal collector electricity-only,HR electricity urban decentral heat,True,1.0,urban decentral solar thermal
HU rural heat vent,HU rural heat,True,1.0,rural heat vent
HU rural solar thermal collector,HU rural heat,True,1.0,rural solar thermal
HU rural solar thermal collector electricity-only,HU electricity rural heat,True,1.0,rural solar thermal
HU urban decentral heat vent,HU urban decentral heat,True,1.0,urban decentral heat vent
HU urban decentral solar thermal collector,HU urban decentral heat,True,1.0,urban decentral solar thermal
HU urban decentral solar thermal collector electricity-only,HU electricity urban decentral heat,True,1.0,urban decentral solar thermal
IE rural heat vent,IE rural heat,True,1.0,rural heat vent
IE rural solar thermal collector,IE rural heat,True,1.0,rural solar thermal
IE rural solar thermal collector electricity-only,IE electricity rural heat,True,1.0,rural solar thermal
IE urban decentral heat vent,IE urban decentral heat,True,1.0,urban decentral heat vent
IE urban decentral solar thermal collector,IE urban decentral heat,True,1.0,urban decentral solar thermal
IE urban decentral solar thermal collector electricity-only,IE electricity urban decentral heat,True,1.0,urban decentral solar thermal
IT rural heat vent,IT rural heat,True,1.0,rural heat vent
IT rural solar thermal collector,IT rural heat,True,1.0,rural solar thermal
IT rural solar thermal collector electricity-only,IT electricity rural heat,True,1.0,rural solar thermal
IT urban decentral heat vent,IT urban decentral heat,True,1.0,urban decentral heat vent
IT urban decentral solar thermal collector,IT urban decentral heat,True,1.0,urban decentral solar thermal
IT urban decentral solar thermal collector electricity-only,IT electricity urban decentral heat,True,1.0,urban decentral solar thermal
LT rural heat vent,LT rural heat,True,1.0,rural heat vent
LT rural solar thermal collector,LT rural heat,True,1.0,rural solar thermal
LT rural solar thermal collector electricity-only,LT electricity rural heat,True,1.0,rural solar thermal
LT urban decentral heat vent,LT urban decentral heat,True,1.0,urban decentral heat vent
LT urban decentral solar thermal collector,LT urban decentral heat,True,1.0,urban decentral solar thermal
LT urban decentral solar thermal collector electricity-only,LT electricity urban decentral heat,True,1.0,urban decentral solar thermal
LU rural heat vent,LU rural heat,True,1.0,rural heat vent
LU rural solar thermal collector,LU rural heat,True,1.0,rural solar thermal
LU rural solar thermal collector electricity-only,LU electricity rural heat,True,1.0,rural solar thermal
LU urban decentral heat vent,LU urban decentral heat,True,1.0,urban decentral heat vent
LU urban decentral solar thermal collector,LU urban decentral heat,True,1.0,urban decentral solar thermal
LU urban decentral solar thermal collector electricity-only,LU electricity urban decentral heat,True,1.0,urban decentral solar thermal
LV rural heat vent,LV rural heat,True,1.0,rural heat vent
LV rural solar thermal collector,LV rural heat,True,1.0,rural solar thermal
LV rural solar thermal collector electricity-only,LV electricity rural heat,True,1.0,rural solar thermal
LV urban decentral heat vent,LV urban decentral heat,True,1.0,urban decentral heat vent
LV urban decentral solar thermal collector,LV urban decentral heat,True,1.0,urban decentral solar thermal
LV urban decentral solar thermal collector electricity-only,LV electricity urban decentral heat,True,1.0,urban decentral solar thermal
ME rural heat vent,ME rural heat,True,1.0,rural heat vent
ME rural solar thermal collector,ME rural heat,True,1.0,rural solar thermal
ME rural solar thermal collector electricity-only,ME electricity rural heat,True,1.0,rural solar thermal
ME urban decentral heat vent,ME urban decentral heat,True,1.0,urban decentral heat vent
ME urban decentral solar thermal collector,ME urban decentral heat,True,1.0,urban decentral solar thermal
ME urban decentral solar thermal collector electricity-only,ME electricity urban decentral heat,True,1.0,urban decentral solar thermal
MK rural heat vent,MK rural heat,True,1.0,rural heat vent
MK rural solar thermal collector,MK rural heat,True,1.0,rural solar thermal
MK rural solar thermal collector electricity-only,MK electricity rural heat,True,1.0,rural solar thermal
MK urban decentral heat vent,MK urban decentral heat,True,1.0,urban decentral heat vent
MK urban decentral solar thermal collector,MK urban decentral heat,True,1.0,urban decentral solar thermal
MK urban decentral solar thermal collector electricity-only,MK electricity urban decentral heat,True,1.0,urban decentral solar thermal
NL rural heat vent,NL rural heat,True,1.0,rural heat vent
NL rural solar thermal collector,NL rural heat,True,1.0,rural solar thermal
NL rural solar thermal collector electricity-only,NL electricity rural heat,True,1.0,rural solar thermal
NL urban decentral heat vent,NL urban decentral heat,True,1.0,urban decentral heat vent
NL urban decentral solar thermal collector,NL urban decentral heat,True,1.0,urban decentral solar thermal
NL urban decentral solar thermal collector electricity-only,NL electricity urban decentral heat,True,1.0,urban decentral solar thermal
NO rural heat vent,NO rural heat,True,1.0,rural heat vent
NO rural solar thermal collector,NO rural heat,True,1.0,rural solar thermal
NO rural solar thermal collector electricity-only,NO electricity rural heat,True,1.0,rural solar thermal
NO urban decentral heat vent,NO urban decentral heat,True,1.0,urban decentral heat vent
NO urban decentral solar thermal collector,NO urban decentral heat,True,1.0,urban decentral solar thermal
NO urban decentral solar thermal collector electricity-only,NO electricity urban decentral heat,True,1.0,urban decentral solar thermal
PL rural heat vent,PL rural heat,True,1.0,rural heat vent
PL rural solar thermal collector,PL rural heat,True,1.0,rural solar thermal
PL rural solar thermal collector electricity-only,PL electricity rural heat,True,1.0,rural solar thermal
PL urban decentral heat vent,PL urban decentral heat,True,1.0,urban decentral heat vent
PL urban decentral solar thermal collector,PL urban decentral heat,True,1.0,urban decentral solar thermal
PL urban decentral solar thermal collector electricity-only,PL electricity urban decentral heat,True,1.0,urban decentral solar thermal
PT rural heat vent,PT rural heat,True,1.0,rural heat vent
PT rural solar thermal collector,PT rural heat,True,1.0,rural solar thermal
PT rural solar thermal collector electricity-only,PT electricity rural heat,True,1.0,rural solar thermal
PT urban decentral heat vent,PT urban decentral heat,True,1.0,urban decentral heat vent
PT urban decentral solar thermal collector,PT urban decentral heat,True,1.0,urban decentral solar thermal
PT urban decentral solar thermal collector electricity-only,PT electricity urban decentral heat,True,1.0,urban decentral solar thermal
RO rural heat vent,RO rural heat,True,1.0,rural heat vent
RO rural solar thermal collector,RO rural heat,True,1.0,rural solar thermal
RO rural solar thermal collector electricity-only,RO electricity rural heat,True,1.0,rural solar thermal
RO urban decentral heat vent,RO urban decentral heat,True,1.0,urban decentral heat vent
RO urban decentral solar thermal collector,RO urban decentral heat,True,1.0,urban decentral solar thermal
RO urban decentral solar thermal collector electricity-only,RO electricity urban decentral heat,True,1.0,urban decentral solar thermal
RS rural heat vent,RS rural heat,True,1.0,rural heat vent
RS rural solar thermal collector,RS rural heat,True,1.0,rural solar thermal
RS rural solar thermal collector electricity-only,RS electricity rural heat,True,1.0,rural solar thermal
RS urban decentral heat vent,RS urban decentral heat,True,1.0,urban decentral heat vent
RS urban decentral solar thermal collector,RS urban decentral heat,True,1.0,urban decentral solar thermal
RS urban decentral solar thermal collector electricity-only,RS electricity urban decentral heat,True,1.0,urban decentral solar thermal
SE rural heat vent,SE rural heat,True,1.0,rural heat vent
SE rural solar thermal collector,SE rural heat,True,1.0,rural solar thermal
SE rural solar thermal collector electricity-only,SE electricity rural heat,True,1.0,rural solar thermal
SE urban decentral heat vent,SE urban decentral heat,True,1.0,urban decentral heat vent
SE urban decentral solar thermal collector,SE urban decentral heat,True,1.0,urban decentral solar thermal
SE urban decentral solar thermal collector electricity-only,SE electricity urban decentral heat,True,1.0,urban decentral solar thermal
SI rural heat vent,SI rural heat,True,1.0,rural heat vent
SI rural solar thermal collector,SI rural heat,True,1.0,rural solar thermal
SI rural solar thermal collector electricity-only,SI electricity rural heat,True,1.0,rural solar thermal
SI urban decentral heat vent,SI urban decentral heat,True,1.0,urban decentral heat vent
SI urban decentral solar thermal collector,SI urban decentral heat,True,1.0,urban decentral solar thermal
SI urban decentral solar thermal collector electricity-only,SI electricity urban decentral heat,True,1.0,urban decentral solar thermal
SK rural heat vent,SK rural heat,True,1.0,rural heat vent
SK rural solar thermal collector,SK rural heat,True,1.0,rural solar thermal
SK rural solar thermal collector electricity-only,SK electricity rural heat,True,1.0,rural solar thermal
SK urban decentral heat vent,SK urban decentral heat,True,1.0,urban decentral heat vent
SK urban decentral solar thermal collector,SK urban decentral heat,True,1.0,urban decentral solar thermal
SK urban decentral solar thermal collector electricity-only,SK electricity urban decentral heat,True,1.0,urban decentral solar thermal
XK rural heat vent,XK rural heat,True,1.0,rural heat vent
XK rural solar thermal collector,XK rural heat,True,1.0,rural solar thermal
XK rural solar thermal collector electricity-only,XK electricity rural heat,True,1.0,rural solar thermal
XK urban decentral heat vent,XK urban decentral heat,True,1.0,urban decentral heat vent
XK urban decentral solar thermal collector,XK urban decentral heat,True,1.0,urban decentral solar thermal
XK urban decentral solar thermal collector electricity-only,XK electricity urban decentral heat,True,1.0,urban decentral solar thermal
