Generator,bus,p_nom_extendable,sign,carrier
SE 0 offwind-dc,SE,True,1.0,offwind-dc
AL 0 solar,AL,True,1.0,solar
AT 0 solar,AT,True,1.0,solar
BA 0 solar,BA,True,1.0,solar
BE 0 solar,BE,True,1.0,solar
BG 0 solar,BG,True,1.0,solar
CH 0 solar,CH,True,1.0,solar
CZ 0 solar,CZ,True,1.0,solar
DE 0 solar,DE,True,1.0,solar
DK 0 solar,DK,True,1.0,solar
EE 0 solar,EE,True,1.0,solar
ES 0 solar,ES,True,1.0,solar
FI 0 solar,FI,True,1.0,solar
FR 0 solar,FR,True,1.0,solar
GB 0 solar,GB,True,1.0,solar
GBI 0 solar,GBI,True,1.0,solar
GR 0 solar,GR,True,1.0,solar
HR 0 solar,HR,True,1.0,solar
HU 0 solar,HU,True,1.0,solar
IE 0 solar,IE,True,1.0,solar
IT 0 solar,IT,True,1.0,solar
LT 0 solar,LT,True,1.0,solar
LU 0 solar,LU,True,1.0,solar
LV 0 solar,LV,True,1.0,solar
ME 0 solar,ME,True,1.0,solar
MK 0 solar,MK,True,1.0,solar
NL 0 solar,NL,True,1.0,solar
NO 0 solar,NO,True,1.0,solar
PL 0 solar,PL,True,1.0,solar
PT 0 solar,PT,True,1.0,solar
RO 0 solar,RO,True,1.0,solar
RS 0 solar,RS,True,1.0,solar
SE 0 solar,SE,True,1.0,solar
SI 0 solar,SI,True,1.0,solar
SK 0 solar,SK,True,1.0,solar
XK 0 solar,XK,True,1.0,solar
AL 0 offwind-float,AL,True,1.0,offwind-float
BA 0 offwind-float,BA,True,1.0,offwind-float
BE 0 offwind-float,BE,True,1.0,offwind-float
BG 0 offwind-float,BG,True,1.0,offwind-float
DE 0 offwind-float,DE,True,1.0,offwind-float
DK 0 offwind-float,DK,True,1.0,offwind-float
EE 0 offwind-float,EE,True,1.0,offwind-float
ES 0 offwind-float,ES,True,1.0,offwind-float
FI 0 offwind-float,FI,True,1.0,offwind-float
FR 0 offwind-float,FR,True,1.0,offwind-float
GB 0 offwind-float,GB,True,1.0,offwind-float
GR 0 offwind-float,GR,True,1.0,offwind-float
HR 0 offwind-float,HR,True,1.0,offwind-float
IE 0 offwind-float,IE,True,1.0,offwind-float
IT 0 offwind-float,IT,True,1.0,offwind-float
LT 0 offwind-float,LT,True,1.0,offwind-float
LV 0 offwind-float,LV,True,1.0,offwind-float
ME 0 offwind-float,ME,True,1.0,offwind-float
NL 0 offwind-float,NL,True,1.0,offwind-float
NO 0 offwind-float,NO,True,1.0,offwind-float
PL 0 offwind-float,PL,True,1.0,offwind-float
PT 0 offwind-float,PT,True,1.0,offwind-float
RO 0 offwind-float,RO,True,1.0,offwind-float
SE 0 offwind-float,SE,True,1.0,offwind-float
SI 0 offwind-float,SI,True,1.0,offwind-float
AL ror,AL,False,1.0,ror
AT ror,AT,False,1.0,ror
BA ror,BA,False,1.0,ror
BE ror,BE,False,1.0,ror
BG ror,BG,False,1.0,ror
CH ror,CH,False,1.0,ror
CZ ror,CZ,False,1.0,ror
DE ror,DE,False,1.0,ror
ES ror,ES,False,1.0,ror
FI ror,FI,False,1.0,ror
FR ror,FR,False,1.0,ror
GB ror,GB,False,1.0,ror
GR ror,GR,False,1.0,ror
HR ror,HR,False,1.0,ror
HU ror,HU,False,1.0,ror
IE ror,IE,False,1.0,ror
IT ror,IT,False,1.0,ror
LV ror,LV,False,1.0,ror
ME ror,ME,False,1.0,ror
MK ror,MK,False,1.0,ror
NO ror,NO,False,1.0,ror
PL ror,PL,False,1.0,ror
PT ror,PT,False,1.0,ror
RO ror,RO,False,1.0,ror
RS ror,RS,False,1.0,ror
SE ror,SE,False,1.0,ror
SI ror,SI,False,1.0,ror
SK ror,SK,False,1.0,ror
XK ror,XK,False,1.0,ror
AT gas,AT gas,False,1.0,gas
BE gas,BE gas,False,1.0,gas
BG gas,BG gas,False,1.0,gas
CZ gas,CZ gas,False,1.0,gas
DE gas,DE gas,False,1.0,gas
DK gas,DK gas,False,1.0,gas
ES gas,ES gas,False,1.0,gas
FI gas,FI gas,False,1.0,gas
FR gas,FR gas,False,1.0,gas
GB gas,GB gas,False,1.0,gas
GR gas,GR gas,False,1.0,gas
HR gas,HR gas,False,1.0,gas
HU gas,HU gas,False,1.0,gas
IE gas,IE gas,False,1.0,gas
IT gas,IT gas,False,1.0,gas
LT gas,LT gas,False,1.0,gas
LV gas,LV gas,False,1.0,gas
NL gas,NL gas,False,1.0,gas
NO gas,NO gas,False,1.0,gas
PL gas,PL gas,False,1.0,gas
PT gas,PT gas,False,1.0,gas
RO gas,RO gas,False,1.0,gas
RS gas,RS gas,False,1.0,gas
SE gas,SE gas,False,1.0,gas
SK gas,SK gas,False,1.0,gas
EU oil primary,EU oil primary,True,1.0,oil primary
AL urban central heat vent,AL urban central heat,True,1.0,urban central heat vent
AT urban central heat vent,AT urban central heat,True,1.0,urban central heat vent
BA urban central heat vent,BA urban central heat,True,1.0,urban central heat vent
BE urban central heat vent,BE urban central heat,True,1.0,urban central heat vent
BG urban central heat vent,BG urban central heat,True,1.0,urban central heat vent
CH urban central heat vent,CH urban central heat,True,1.0,urban central heat vent
CZ urban central heat vent,CZ urban central heat,True,1.0,urban central heat vent
DE urban central heat vent,DE urban central heat,True,1.0,urban central heat vent
DK urban central heat vent,DK urban central heat,True,1.0,urban central heat vent
EE urban central heat vent,EE urban central heat,True,1.0,urban central heat vent
ES urban central heat vent,ES urban central heat,True,1.0,urban central heat vent
