Link,bus0,bus1,carrier,p_nom_extendable,bus4,bus3,bus2
IE OCGT,IE gas,IE,OCGT,True,,,co2 atmosphere
IT OCGT,IT gas,IT,OCGT,True,,,co2 atmosphere
LT OCGT,LT gas,LT,OCGT,True,,,co2 atmosphere
LU OCGT,LU gas,LU,OCGT,True,,,co2 atmosphere
LV OCGT,LV gas,LV,OCGT,True,,,co2 atmosphere
ME OCGT,ME gas,ME,OCGT,True,,,co2 atmosphere
MK OCGT,MK gas,MK,OCGT,True,,,co2 atmosphere
NL OCGT,NL gas,NL,OCGT,True,,,co2 atmosphere
NO OCGT,NO gas,NO,OCGT,True,,,co2 atmosphere
PL OCGT,PL gas,PL,OCGT,True,,,co2 atmosphere
PT OCGT,PT gas,PT,OCGT,True,,,co2 atmosphere
RO OCGT,RO gas,RO,OCGT,True,,,co2 atmosphere
RS OCGT,RS gas,RS,OCGT,True,,,co2 atmosphere
SE OCGT,SE gas,SE,OCGT,True,,,co2 atmosphere
SI OCGT,SI gas,SI,OCGT,True,,,co2 atmosphere
SK OCGT,SK gas,SK,OCGT,True,,,co2 atmosphere
XK OCGT,XK gas,XK,OCGT,True,,,co2 atmosphere
AL CCGT,AL gas,AL,CCGT,True,,,co2 atmosphere
AT CCGT,AT gas,AT,CCGT,True,,,co2 atmosphere
BA CCGT,BA gas,BA,CCGT,True,,,co2 atmosphere
BE CCGT,BE gas,BE,CCGT,True,,,co2 atmosphere
BG CCGT,BG gas,BG,CCGT,True,,,co2 atmosphere
CH CCGT,CH gas,CH,CCGT,True,,,co2 atmosphere
CZ CCGT,CZ gas,CZ,CCGT,True,,,co2 atmosphere
DE CCGT,DE gas,DE,CCGT,True,,,co2 atmosphere
DK CCGT,DK gas,DK,CCGT,True,,,co2 atmosphere
EE CCGT,EE gas,EE,CCGT,True,,,co2 atmosphere
ES CCGT,ES gas,ES,CCGT,True,,,co2 atmosphere
FI CCGT,FI gas,FI,CCGT,True,,,co2 atmosphere
FR CCGT,FR gas,FR,CCGT,True,,,co2 atmosphere
GB CCGT,GB gas,GB,CCGT,True,,,co2 atmosphere
GBI CCGT,GBI gas,GBI,CCGT,True,,,co2 atmosphere
GR CCGT,GR gas,GR,CCGT,True,,,co2 atmosphere
HR CCGT,HR gas,HR,CCGT,True,,,co2 atmosphere
HU CCGT,HU gas,HU,CCGT,True,,,co2 atmosphere
IE CCGT,IE gas,IE,CCGT,True,,,co2 atmosphere
IT CCGT,IT gas,IT,CCGT,True,,,co2 atmosphere
LT CCGT,LT gas,LT,CCGT,True,,,co2 atmosphere
LU CCGT,LU gas,LU,CCGT,True,,,co2 atmosphere
LV CCGT,LV gas,LV,CCGT,True,,,co2 atmosphere
ME CCGT,ME gas,ME,CCGT,True,,,co2 atmosphere
MK CCGT,MK gas,MK,CCGT,True,,,co2 atmosphere
NL CCGT,NL gas,NL,CCGT,True,,,co2 atmosphere
NO CCGT,NO gas,NO,CCGT,True,,,co2 atmosphere
PL CCGT,PL gas,PL,CCGT,True,,,co2 atmosphere
PT CCGT,PT gas,PT,CCGT,True,,,co2 atmosphere
RO CCGT,RO gas,RO,CCGT,True,,,co2 atmosphere
RS CCGT,RS gas,RS,CCGT,True,,,co2 atmosphere
SE CCGT,SE gas,SE,CCGT,True,,,co2 atmosphere
SI CCGT,SI gas,SI,CCGT,True,,,co2 atmosphere
SK CCGT,SK gas,SK,CCGT,True,,,co2 atmosphere
XK CCGT,XK gas,XK,CCGT,True,,,co2 atmosphere
AL H2 Electrolysis,AL,AL H2,H2 Electrolysis,True,,,AL urban central heat
AT H2 Electrolysis,AT,AT H2,H2 Electrolysis,True,,,AT urban central heat
BA H2 Electrolysis,BA,BA H2,H2 Electrolysis,True,,,BA urban central heat
BE H2 Electrolysis,BE,BE H2,H2 Electrolysis,True,,,BE urban central heat
BG H2 Electrolysis,BG,BG H2,H2 Electrolysis,True,,,BG urban central heat
CH H2 Electrolysis,CH,CH H2,H2 Electrolysis,True,,,CH urban central heat
CZ H2 Electrolysis,CZ,CZ H2,H2 Electrolysis,True,,,CZ urban central heat
DE H2 Electrolysis,DE,DE H2,H2 Electrolysis,True,,,DE urban central heat
DK H2 Electrolysis,DK,DK H2,H2 Electrolysis,True,,,DK urban central heat
EE H2 Electrolysis,EE,EE H2,H2 Electrolysis,True,,,EE urban central heat
ES H2 Electrolysis,ES,ES H2,H2 Electrolysis,True,,,ES urban central heat
FI H2 Electrolysis,FI,FI H2,H2 Electrolysis,True,,,FI urban central heat
FR H2 Electrolysis,FR,FR H2,H2 Electrolysis,True,,,FR urban central heat
GB H2 Electrolysis,GB,GB H2,H2 Electrolysis,True,,,GB urban central heat
GBI H2 Electrolysis,GBI,GBI H2,H2 Electrolysis,True,,,GBI urban central heat
GR H2 Electrolysis,GR,GR H2,H2 Electrolysis,True,,,GR urban central heat
HR H2 Electrolysis,HR,HR H2,H2 Electrolysis,True,,,HR urban central heat
HU H2 Electrolysis,HU,HU H2,H2 Electrolysis,True,,,HU urban central heat
IE H2 Electrolysis,IE,IE H2,H2 Electrolysis,True,,,IE urban central heat
IT H2 Electrolysis,IT,IT H2,H2 Electrolysis,True,,,IT urban central heat
LT H2 Electrolysis,LT,LT H2,H2 Electrolysis,True,,,LT urban central heat
LU H2 Electrolysis,LU,LU H2,H2 Electrolysis,True,,,LU urban central heat
LV H2 Electrolysis,LV,LV H2,H2 Electrolysis,True,,,LV urban central heat
ME H2 Electrolysis,ME,ME H2,H2 Electrolysis,True,,,ME urban central heat
MK H2 Electrolysis,MK,MK H2,H2 Electrolysis,True,,,MK urban central heat
NL H2 Electrolysis,NL,NL H2,H2 Electrolysis,True,,,NL urban central heat
NO H2 Electrolysis,NO,NO H2,H2 Electrolysis,True,,,NO urban central heat
PL H2 Electrolysis,PL,PL H2,H2 Electrolysis,True,,,PL urban central heat
PT H2 Electrolysis,PT,PT H2,H2 Electrolysis,True,,,PT urban central heat
RO H2 Electrolysis,RO,RO H2,H2 Electrolysis,True,,,RO urban central heat
RS H2 Electrolysis,RS,RS H2,H2 Electrolysis,True,,,RS urban central heat
SE H2 Electrolysis,SE,SE H2,H2 Electrolysis,True,,,SE urban central heat
SI H2 Electrolysis,SI,SI H2,H2 Electrolysis,True,,,SI urban central heat
SK H2 Electrolysis,SK,SK H2,H2 Electrolysis,True,,,SK urban central heat
XK H2 Electrolysis,XK,XK H2,H2 Electrolysis,True,,,XK urban central heat
AL H2 Fuel Cell,AL H2,AL,H2 Fuel Cell,True,,,AL urban central heat
AT H2 Fuel Cell,AT H2,AT,H2 Fuel Cell,True,,,AT urban central heat
BA H2 Fuel Cell,BA H2,BA,H2 Fuel Cell,True,,,BA urban central heat
BE H2 Fuel Cell,BE H2,BE,H2 Fuel Cell,True,,,BE urban central heat
BG H2 Fuel Cell,BG H2,BG,H2 Fuel Cell,True,,,BG urban central heat
CH H2 Fuel Cell,CH H2,CH,H2 Fuel Cell,True,,,CH urban central heat
CZ H2 Fuel Cell,CZ H2,CZ,H2 Fuel Cell,True,,,CZ urban central heat
DE H2 Fuel Cell,DE H2,DE,H2 Fuel Cell,True,,,DE urban central heat
DK H2 Fuel Cell,DK H2,DK,H2 Fuel Cell,True,,,DK urban central heat
EE H2 Fuel Cell,EE H2,EE,H2 Fuel Cell,True,,,EE urban central heat
ES H2 Fuel Cell,ES H2,ES,H2 Fuel Cell,True,,,ES urban central heat
FI H2 Fuel Cell,FI H2,FI,H2 Fuel Cell,True,,,FI urban central heat
FR H2 Fuel Cell,FR H2,FR,H2 Fuel Cell,True,,,FR urban central heat
GB H2 Fuel Cell,GB H2,GB,H2 Fuel Cell,True,,,GB urban central heat
GBI H2 Fuel Cell,GBI H2,GBI,H2 Fuel Cell,True,,,GBI urban central heat
GR H2 Fuel Cell,GR H2,GR,H2 Fuel Cell,True,,,GR urban central heat
HR H2 Fuel Cell,HR H2,HR,H2 Fuel Cell,True,,,HR urban central heat
HU H2 Fuel Cell,HU H2,HU,H2 Fuel Cell,True,,,HU urban central heat
IE H2 Fuel Cell,IE H2,IE,H2 Fuel Cell,True,,,IE urban central heat
IT H2 Fuel Cell,IT H2,IT,H2 Fuel Cell,True,,,IT urban central heat
LT H2 Fuel Cell,LT H2,LT,H2 Fuel Cell,True,,,LT urban central heat
LU H2 Fuel Cell,LU H2,LU,H2 Fuel Cell,True,,,LU urban central heat
LV H2 Fuel Cell,LV H2,LV,H2 Fuel Cell,True,,,LV urban central heat
ME H2 Fuel Cell,ME H2,ME,H2 Fuel Cell,True,,,ME urban central heat
MK H2 Fuel Cell,MK H2,MK,H2 Fuel Cell,True,,,MK urban central heat
NL H2 Fuel Cell,NL H2,NL,H2 Fuel Cell,True,,,NL urban central heat
NO H2 Fuel Cell,NO H2,NO,H2 Fuel Cell,True,,,NO urban central heat
PL H2 Fuel Cell,PL H2,PL,H2 Fuel Cell,True,,,PL urban central heat
PT H2 Fuel Cell,PT H2,PT,H2 Fuel Cell,True,,,PT urban central heat
RO H2 Fuel Cell,RO H2,RO,H2 Fuel Cell,True,,,RO urban central heat
RS H2 Fuel Cell,RS H2,RS,H2 Fuel Cell,True,,,RS urban central heat
