Link,bus0,bus1,carrier,p_nom_extendable,bus4,bus3,bus2
HR urban central gas boiler gas-only,HR gas,HR gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
HU urban central gas boiler gas-only,HU gas,HU gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
IE urban central gas boiler gas-only,IE gas,IE gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
IT urban central gas boiler gas-only,IT gas,IT gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
LT urban central gas boiler gas-only,LT gas,LT gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
LU urban central gas boiler gas-only,LU gas,LU gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
LV urban central gas boiler gas-only,LV gas,LV gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
ME urban central gas boiler gas-only,ME gas,ME gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
MK urban central gas boiler gas-only,MK gas,MK gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
NL urban central gas boiler gas-only,NL gas,NL gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
NO urban central gas boiler gas-only,NO gas,NO gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
PL urban central gas boiler gas-only,PL gas,PL gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
PT urban central gas boiler gas-only,PT gas,PT gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
RO urban central gas boiler gas-only,RO gas,RO gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
RS urban central gas boiler gas-only,RS gas,RS gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
SE urban central gas boiler gas-only,SE gas,SE gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
SI urban central gas boiler gas-only,SI gas,SI gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
SK urban central gas boiler gas-only,SK gas,SK gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
XK urban central gas boiler gas-only,XK gas,XK gas urban central heat,urban central gas boiler,True,,,co2 atmosphere
AL urban central gas CHP gas-only,AL gas,AL,urban central gas CHP,True,,co2 atmosphere,AL gas urban central heat
AT urban central gas CHP gas-only,AT gas,AT,urban central gas CHP,True,,co2 atmosphere,AT gas urban central heat
BA urban central gas CHP gas-only,BA gas,BA,urban central gas CHP,True,,co2 atmosphere,BA gas urban central heat
BE urban central gas CHP gas-only,BE gas,BE,urban central gas CHP,True,,co2 atmosphere,BE gas urban central heat
BG urban central gas CHP gas-only,BG gas,BG,urban central gas CHP,True,,co2 atmosphere,BG gas urban central heat
CH urban central gas CHP gas-only,CH gas,CH,urban central gas CHP,True,,co2 atmosphere,CH gas urban central heat
CZ urban central gas CHP gas-only,CZ gas,CZ,urban central gas CHP,True,,co2 atmosphere,CZ gas urban central heat
DE urban central gas CHP gas-only,DE gas,DE,urban central gas CHP,True,,co2 atmosphere,DE gas urban central heat
DK urban central gas CHP gas-only,DK gas,DK,urban central gas CHP,True,,co2 atmosphere,DK gas urban central heat
EE urban central gas CHP gas-only,EE gas,EE,urban central gas CHP,True,,co2 atmosphere,EE gas urban central heat
ES urban central gas CHP gas-only,ES gas,ES,urban central gas CHP,True,,co2 atmosphere,ES gas urban central heat
FI urban central gas CHP gas-only,FI gas,FI,urban central gas CHP,True,,co2 atmosphere,FI gas urban central heat
FR urban central gas CHP gas-only,FR gas,FR,urban central gas CHP,True,,co2 atmosphere,FR gas urban central heat
GB urban central gas CHP gas-only,GB gas,GB,urban central gas CHP,True,,co2 atmosphere,GB gas urban central heat
GBI urban central gas CHP gas-only,GBI gas,GBI,urban central gas CHP,True,,co2 atmosphere,GBI gas urban central heat
GR urban central gas CHP gas-only,GR gas,GR,urban central gas CHP,True,,co2 atmosphere,GR gas urban central heat
HR urban central gas CHP gas-only,HR gas,HR,urban central gas CHP,True,,co2 atmosphere,HR gas urban central heat
HU urban central gas CHP gas-only,HU gas,HU,urban central gas CHP,True,,co2 atmosphere,HU gas urban central heat
IE urban central gas CHP gas-only,IE gas,IE,urban central gas CHP,True,,co2 atmosphere,IE gas urban central heat
IT urban central gas CHP gas-only,IT gas,IT,urban central gas CHP,True,,co2 atmosphere,IT gas urban central heat
LT urban central gas CHP gas-only,LT gas,LT,urban central gas CHP,True,,co2 atmosphere,LT gas urban central heat
LU urban central gas CHP gas-only,LU gas,LU,urban central gas CHP,True,,co2 atmosphere,LU gas urban central heat
LV urban central gas CHP gas-only,LV gas,LV,urban central gas CHP,True,,co2 atmosphere,LV gas urban central heat
ME urban central gas CHP gas-only,ME gas,ME,urban central gas CHP,True,,co2 atmosphere,ME gas urban central heat
MK urban central gas CHP gas-only,MK gas,MK,urban central gas CHP,True,,co2 atmosphere,MK gas urban central heat
NL urban central gas CHP gas-only,NL gas,NL,urban central gas CHP,True,,co2 atmosphere,NL gas urban central heat
NO urban central gas CHP gas-only,NO gas,NO,urban central gas CHP,True,,co2 atmosphere,NO gas urban central heat
PL urban central gas CHP gas-only,PL gas,PL,urban central gas CHP,True,,co2 atmosphere,PL gas urban central heat
PT urban central gas CHP gas-only,PT gas,PT,urban central gas CHP,True,,co2 atmosphere,PT gas urban central heat
RO urban central gas CHP gas-only,RO gas,RO,urban central gas CHP,True,,co2 atmosphere,RO gas urban central heat
RS urban central gas CHP gas-only,RS gas,RS,urban central gas CHP,True,,co2 atmosphere,RS gas urban central heat
SE urban central gas CHP gas-only,SE gas,SE,urban central gas CHP,True,,co2 atmosphere,SE gas urban central heat
SI urban central gas CHP gas-only,SI gas,SI,urban central gas CHP,True,,co2 atmosphere,SI gas urban central heat
SK urban central gas CHP gas-only,SK gas,SK,urban central gas CHP,True,,co2 atmosphere,SK gas urban central heat
XK urban central gas CHP gas-only,XK gas,XK,urban central gas CHP,True,,co2 atmosphere,XK gas urban central heat
AL urban central gas CHP CC gas-only,AL gas,AL,urban central gas CHP CC,True,AL co2 stored,co2 atmosphere,AL gas urban central heat
AT urban central gas CHP CC gas-only,AT gas,AT,urban central gas CHP CC,True,AT co2 stored,co2 atmosphere,AT gas urban central heat
BA urban central gas CHP CC gas-only,BA gas,BA,urban central gas CHP CC,True,BA co2 stored,co2 atmosphere,BA gas urban central heat
BE urban central gas CHP CC gas-only,BE gas,BE,urban central gas CHP CC,True,BE co2 stored,co2 atmosphere,BE gas urban central heat
BG urban central gas CHP CC gas-only,BG gas,BG,urban central gas CHP CC,True,BG co2 stored,co2 atmosphere,BG gas urban central heat
CH urban central gas CHP CC gas-only,CH gas,CH,urban central gas CHP CC,True,CH co2 stored,co2 atmosphere,CH gas urban central heat
CZ urban central gas CHP CC gas-only,CZ gas,CZ,urban central gas CHP CC,True,CZ co2 stored,co2 atmosphere,CZ gas urban central heat
DE urban central gas CHP CC gas-only,DE gas,DE,urban central gas CHP CC,True,DE co2 stored,co2 atmosphere,DE gas urban central heat
DK urban central gas CHP CC gas-only,DK gas,DK,urban central gas CHP CC,True,DK co2 stored,co2 atmosphere,DK gas urban central heat
EE urban central gas CHP CC gas-only,EE gas,EE,urban central gas CHP CC,True,EE co2 stored,co2 atmosphere,EE gas urban central heat
ES urban central gas CHP CC gas-only,ES gas,ES,urban central gas CHP CC,True,ES co2 stored,co2 atmosphere,ES gas urban central heat
FI urban central gas CHP CC gas-only,FI gas,FI,urban central gas CHP CC,True,FI co2 stored,co2 atmosphere,FI gas urban central heat
FR urban central gas CHP CC gas-only,FR gas,FR,urban central gas CHP CC,True,FR co2 stored,co2 atmosphere,FR gas urban central heat
GB urban central gas CHP CC gas-only,GB gas,GB,urban central gas CHP CC,True,GB co2 stored,co2 atmosphere,GB gas urban central heat
GBI urban central gas CHP CC gas-only,GBI gas,GBI,urban central gas CHP CC,True,GBI co2 stored,co2 atmosphere,GBI gas urban central heat
GR urban central gas CHP CC gas-only,GR gas,GR,urban central gas CHP CC,True,GR co2 stored,co2 atmosphere,GR gas urban central heat
HR urban central gas CHP CC gas-only,HR gas,HR,urban central gas CHP CC,True,HR co2 stored,co2 atmosphere,HR gas urban central heat
HU urban central gas CHP CC gas-only,HU gas,HU,urban central gas CHP CC,True,HU co2 stored,co2 atmosphere,HU gas urban central heat
IE urban central gas CHP CC gas-only,IE gas,IE,urban central gas CHP CC,True,IE co2 stored,co2 atmosphere,IE gas urban central heat
IT urban central gas CHP CC gas-only,IT gas,IT,urban central gas CHP CC,True,IT co2 stored,co2 atmosphere,IT gas urban central heat
LT urban central gas CHP CC gas-only,LT gas,LT,urban central gas CHP CC,True,LT co2 stored,co2 atmosphere,LT gas urban central heat
LU urban central gas CHP CC gas-only,LU gas,LU,urban central gas CHP CC,True,LU co2 stored,co2 atmosphere,LU gas urban central heat
LV urban central gas CHP CC gas-only,LV gas,LV,urban central gas CHP CC,True,LV co2 stored,co2 atmosphere,LV gas urban central heat
ME urban central gas CHP CC gas-only,ME gas,ME,urban central gas CHP CC,True,ME co2 stored,co2 atmosphere,ME gas urban central heat
MK urban central gas CHP CC gas-only,MK gas,MK,urban central gas CHP CC,True,MK co2 stored,co2 atmosphere,MK gas urban central heat
NL urban central gas CHP CC gas-only,NL gas,NL,urban central gas CHP CC,True,NL co2 stored,co2 atmosphere,NL gas urban central heat
NO urban central gas CHP CC gas-only,NO gas,NO,urban central gas CHP CC,True,NO co2 stored,co2 atmosphere,NO gas urban central heat
PL urban central gas CHP CC gas-only,PL gas,PL,urban central gas CHP CC,True,PL co2 stored,co2 atmosphere,PL gas urban central heat
PT urban central gas CHP CC gas-only,PT gas,PT,urban central gas CHP CC,True,PT co2 stored,co2 atmosphere,PT gas urban central heat
RO urban central gas CHP CC gas-only,RO gas,RO,urban central gas CHP CC,True,RO co2 stored,co2 atmosphere,RO gas urban central heat
RS urban central gas CHP CC gas-only,RS gas,RS,urban central gas CHP CC,True,RS co2 stored,co2 atmosphere,RS gas urban central heat
SE urban central gas CHP CC gas-only,SE gas,SE,urban central gas CHP CC,True,SE co2 stored,co2 atmosphere,SE gas urban central heat
SI urban central gas CHP CC gas-only,SI gas,SI,urban central gas CHP CC,True,SI co2 stored,co2 atmosphere,SI gas urban central heat
SK urban central gas CHP CC gas-only,SK gas,SK,urban central gas CHP CC,True,SK co2 stored,co2 atmosphere,SK gas urban central heat
XK urban central gas CHP CC gas-only,XK gas,XK,urban central gas CHP CC,True,XK co2 stored,co2 atmosphere,XK gas urban central heat
AL urban central air heat pump electricity-only,AL electricity urban central heat,AL low voltage,urban central air heat pump,True,,,
AT urban central air heat pump electricity-only,AT electricity urban central heat,AT low voltage,urban central air heat pump,True,,,
BA urban central air heat pump electricity-only,BA electricity urban central heat,BA low voltage,urban central air heat pump,True,,,
BE urban central air heat pump electricity-only,BE electricity urban central heat,BE low voltage,urban central air heat pump,True,,,
BG urban central air heat pump electricity-only,BG electricity urban central heat,BG low voltage,urban central air heat pump,True,,,
CH urban central air heat pump electricity-only,CH electricity urban central heat,CH low voltage,urban central air heat pump,True,,,
CZ urban central air heat pump electricity-only,CZ electricity urban central heat,CZ low voltage,urban central air heat pump,True,,,
DE urban central air heat pump electricity-only,DE electricity urban central heat,DE low voltage,urban central air heat pump,True,,,
DK urban central air heat pump electricity-only,DK electricity urban central heat,DK low voltage,urban central air heat pump,True,,,
EE urban central air heat pump electricity-only,EE electricity urban central heat,EE low voltage,urban central air heat pump,True,,,
ES urban central air heat pump electricity-only,ES electricity urban central heat,ES low voltage,urban central air heat pump,True,,,
FI urban central air heat pump electricity-only,FI electricity urban central heat,FI low voltage,urban central air heat pump,True,,,
FR urban central air heat pump electricity-only,FR electricity urban central heat,FR low voltage,urban central air heat pump,True,,,
GB urban central air heat pump electricity-only,GB electricity urban central heat,GB low voltage,urban central air heat pump,True,,,
GBI urban central air heat pump electricity-only,GBI electricity urban central heat,GBI low voltage,urban central air heat pump,True,,,
GR urban central air heat pump electricity-only,GR electricity urban central heat,GR low voltage,urban central air heat pump,True,,,
HR urban central air heat pump electricity-only,HR electricity urban central heat,HR low voltage,urban central air heat pump,True,,,
HU urban central air heat pump electricity-only,HU electricity urban central heat,HU low voltage,urban central air heat pump,True,,,
IE urban central air heat pump electricity-only,IE electricity urban central heat,IE low voltage,urban central air heat pump,True,,,
IT urban central air heat pump electricity-only,IT electricity urban central heat,IT low voltage,urban central air heat pump,True,,,
LT urban central air heat pump electricity-only,LT electricity urban central heat,LT low voltage,urban central air heat pump,True,,,
LU urban central air heat pump electricity-only,LU electricity urban central heat,LU low voltage,urban central air heat pump,True,,,
LV urban central air heat pump electricity-only,LV electricity urban central heat,LV low voltage,urban central air heat pump,True,,,
ME urban central air heat pump electricity-only,ME electricity urban central heat,ME low voltage,urban central air heat pump,True,,,
MK urban central air heat pump electricity-only,MK electricity urban central heat,MK low voltage,urban central air heat pump,True,,,
NL urban central air heat pump electricity-only,NL electricity urban central heat,NL low voltage,urban central air heat pump,True,,,
NO urban central air heat pump electricity-only,NO electricity urban central heat,NO low voltage,urban central air heat pump,True,,,
PL urban central air heat pump electricity-only,PL electricity urban central heat,PL low voltage,urban central air heat pump,True,,,
PT urban central air heat pump electricity-only,PT electricity urban central heat,PT low voltage,urban central air heat pump,True,,,
RO urban central air heat pump electricity-only,RO electricity urban central heat,RO low voltage,urban central air heat pump,True,,,
RS urban central air heat pump electricity-only,RS electricity urban central heat,RS low voltage,urban central air heat pump,True,,,
SE urban central air heat pump electricity-only,SE electricity urban central heat,SE low voltage,urban central air heat pump,True,,,
SI urban central air heat pump electricity-only,SI electricity urban central heat,SI low voltage,urban central air heat pump,True,,,
SK urban central air heat pump electricity-only,SK electricity urban central heat,SK low voltage,urban central air heat pump,True,,,
XK urban central air heat pump electricity-only,XK electricity urban central heat,XK low voltage,urban central air heat pump,True,,,
AL urban central resistive heater electricity-only,AL low voltage,AL electricity urban central heat,urban central resistive heater,True,,,
AT urban central resistive heater electricity-only,AT low voltage,AT electricity urban central heat,urban central resistive heater,True,,,
BA urban central resistive heater electricity-only,BA low voltage,BA electricity urban central heat,urban central resistive heater,True,,,
BE urban central resistive heater electricity-only,BE low voltage,BE electricity urban central heat,urban central resistive heater,True,,,
BG urban central resistive heater electricity-only,BG low voltage,BG electricity urban central heat,urban central resistive heater,True,,,
CH urban central resistive heater electricity-only,CH low voltage,CH electricity urban central heat,urban central resistive heater,True,,,
CZ urban central resistive heater electricity-only,CZ low voltage,CZ electricity urban central heat,urban central resistive heater,True,,,
DE urban central resistive heater electricity-only,DE low voltage,DE electricity urban central heat,urban central resistive heater,True,,,
DK urban central resistive heater electricity-only,DK low voltage,DK electricity urban central heat,urban central resistive heater,True,,,
EE urban central resistive heater electricity-only,EE low voltage,EE electricity urban central heat,urban central resistive heater,True,,,
ES urban central resistive heater electricity-only,ES low voltage,ES electricity urban central heat,urban central resistive heater,True,,,
FI urban central resistive heater electricity-only,FI low voltage,FI electricity urban central heat,urban central resistive heater,True,,,
FR urban central resistive heater electricity-only,FR low voltage,FR electricity urban central heat,urban central resistive heater,True,,,
GB urban central resistive heater electricity-only,GB low voltage,GB electricity urban central heat,urban central resistive heater,True,,,
GBI urban central resistive heater electricity-only,GBI low voltage,GBI electricity urban central heat,urban central resistive heater,True,,,
GR urban central resistive heater electricity-only,GR low voltage,GR electricity urban central heat,urban central resistive heater,True,,,
HR urban central resistive heater electricity-only,HR low voltage,HR electricity urban central heat,urban central resistive heater,True,,,
HU urban central resistive heater electricity-only,HU low voltage,HU electricity urban central heat,urban central resistive heater,True,,,
IE urban central resistive heater electricity-only,IE low voltage,IE electricity urban central heat,urban central resistive heater,True,,,
IT urban central resistive heater electricity-only,IT low voltage,IT electricity urban central heat,urban central resistive heater,True,,,
LT urban central resistive heater electricity-only,LT low voltage,LT electricity urban central heat,urban central resistive heater,True,,,
LU urban central resistive heater electricity-only,LU low voltage,LU electricity urban central heat,urban central resistive heater,True,,,
LV urban central resistive heater electricity-only,LV low voltage,LV electricity urban central heat,urban central resistive heater,True,,,
ME urban central resistive heater electricity-only,ME low voltage,ME electricity urban central heat,urban central resistive heater,True,,,
MK urban central resistive heater electricity-only,MK low voltage,MK electricity urban central heat,urban central resistive heater,True,,,
NL urban central resistive heater electricity-only,NL low voltage,NL electricity urban central heat,urban central resistive heater,True,,,
NO urban central resistive heater electricity-only,NO low voltage,NO electricity urban central heat,urban central resistive heater,True,,,
PL urban central resistive heater electricity-only,PL low voltage,PL electricity urban central heat,urban central resistive heater,True,,,
PT urban central resistive heater electricity-only,PT low voltage,PT electricity urban central heat,urban central resistive heater,True,,,
RO urban central resistive heater electricity-only,RO low voltage,RO electricity urban central heat,urban central resistive heater,True,,,
RS urban central resistive heater electricity-only,RS low voltage,RS electricity urban central heat,urban central resistive heater,True,,,
SE urban central resistive heater electricity-only,SE low voltage,SE electricity urban central heat,urban central resistive heater,True,,,
SI urban central resistive heater electricity-only,SI low voltage,SI electricity urban central heat,urban central resistive heater,True,,,
SK urban central resistive heater electricity-only,SK low voltage,SK electricity urban central heat,urban central resistive heater,True,,,
XK urban central resistive heater electricity-only,XK low voltage,XK electricity urban central heat,urban central resistive heater,True,,,
AL unsustainable bioliquids,AL unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
AT unsustainable bioliquids,AT unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
BA unsustainable bioliquids,BA unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
BE unsustainable bioliquids,BE unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
BG unsustainable bioliquids,BG unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
CH unsustainable bioliquids,CH unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
CZ unsustainable bioliquids,CZ unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
DE unsustainable bioliquids,DE unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
DK unsustainable bioliquids,DK unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
EE unsustainable bioliquids,EE unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
ES unsustainable bioliquids,ES unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
FI unsustainable bioliquids,FI unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
FR unsustainable bioliquids,FR unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
GB unsustainable bioliquids,GB unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
GBI unsustainable bioliquids,GBI unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
GR unsustainable bioliquids,GR unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
HR unsustainable bioliquids,HR unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
HU unsustainable bioliquids,HU unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
IE unsustainable bioliquids,IE unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
IT unsustainable bioliquids,IT unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
LT unsustainable bioliquids,LT unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
LU unsustainable bioliquids,LU unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
LV unsustainable bioliquids,LV unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
ME unsustainable bioliquids,ME unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
MK unsustainable bioliquids,MK unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
NL unsustainable bioliquids,NL unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
NO unsustainable bioliquids,NO unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
PL unsustainable bioliquids,PL unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
PT unsustainable bioliquids,PT unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
RO unsustainable bioliquids,RO unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
RS unsustainable bioliquids,RS unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
SE unsustainable bioliquids,SE unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
SI unsustainable bioliquids,SI unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
SK unsustainable bioliquids,SK unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
XK unsustainable bioliquids,XK unsustainable bioliquids,EU oil,unsustainable bioliquids,False,,,co2 atmosphere
AL biogas to gas,AL biogas,AL gas,biogas to gas,True,,,co2 atmosphere
AT biogas to gas,AT biogas,AT gas,biogas to gas,True,,,co2 atmosphere
BA biogas to gas,BA biogas,BA gas,biogas to gas,True,,,co2 atmosphere
BE biogas to gas,BE biogas,BE gas,biogas to gas,True,,,co2 atmosphere
BG biogas to gas,BG biogas,BG gas,biogas to gas,True,,,co2 atmosphere
CH biogas to gas,CH biogas,CH gas,biogas to gas,True,,,co2 atmosphere
CZ biogas to gas,CZ biogas,CZ gas,biogas to gas,True,,,co2 atmosphere
DE biogas to gas,DE biogas,DE gas,biogas to gas,True,,,co2 atmosphere
DK biogas to gas,DK biogas,DK gas,biogas to gas,True,,,co2 atmosphere
EE biogas to gas,EE biogas,EE gas,biogas to gas,True,,,co2 atmosphere
ES biogas to gas,ES biogas,ES gas,biogas to gas,True,,,co2 atmosphere
FI biogas to gas,FI biogas,FI gas,biogas to gas,True,,,co2 atmosphere
FR biogas to gas,FR biogas,FR gas,biogas to gas,True,,,co2 atmosphere
GB biogas to gas,GB biogas,GB gas,biogas to gas,True,,,co2 atmosphere
GBI biogas to gas,GBI biogas,GBI gas,biogas to gas,True,,,co2 atmosphere
GR biogas to gas,GR biogas,GR gas,biogas to gas,True,,,co2 atmosphere
HR biogas to gas,HR biogas,HR gas,biogas to gas,True,,,co2 atmosphere
HU biogas to gas,HU biogas,HU gas,biogas to gas,True,,,co2 atmosphere
IE biogas to gas,IE biogas,IE gas,biogas to gas,True,,,co2 atmosphere
IT biogas to gas,IT biogas,IT gas,biogas to gas,True,,,co2 atmosphere
LT biogas to gas,LT biogas,LT gas,biogas to gas,True,,,co2 atmosphere
LU biogas to gas,LU biogas,LU gas,biogas to gas,True,,,co2 atmosphere
LV biogas to gas,LV biogas,LV gas,biogas to gas,True,,,co2 atmosphere
ME biogas to gas,ME biogas,ME gas,biogas to gas,True,,,co2 atmosphere
MK biogas to gas,MK biogas,MK gas,biogas to gas,True,,,co2 atmosphere
NL biogas to gas,NL biogas,NL gas,biogas to gas,True,,,co2 atmosphere
NO biogas to gas,NO biogas,NO gas,biogas to gas,True,,,co2 atmosphere
PL biogas to gas,PL biogas,PL gas,biogas to gas,True,,,co2 atmosphere
PT biogas to gas,PT biogas,PT gas,biogas to gas,True,,,co2 atmosphere
RO biogas to gas,RO biogas,RO gas,biogas to gas,True,,,co2 atmosphere
RS biogas to gas,RS biogas,RS gas,biogas to gas,True,,,co2 atmosphere
SE biogas to gas,SE biogas,SE gas,biogas to gas,True,,,co2 atmosphere
SI biogas to gas,SI biogas,SI gas,biogas to gas,True,,,co2 atmosphere
SK biogas to gas,SK biogas,SK gas,biogas to gas,True,,,co2 atmosphere
XK biogas to gas,XK biogas,XK gas,biogas to gas,True,,,co2 atmosphere
AL urban central solid biomass CHP,AL solid biomass,AL,urban central solid biomass CHP,True,,,AL urban central heat
AT urban central solid biomass CHP,AT solid biomass,AT,urban central solid biomass CHP,True,,,AT urban central heat
BA urban central solid biomass CHP,BA solid biomass,BA,urban central solid biomass CHP,True,,,BA urban central heat
BE urban central solid biomass CHP,BE solid biomass,BE,urban central solid biomass CHP,True,,,BE urban central heat
BG urban central solid biomass CHP,BG solid biomass,BG,urban central solid biomass CHP,True,,,BG urban central heat
CH urban central solid biomass CHP,CH solid biomass,CH,urban central solid biomass CHP,True,,,CH urban central heat
CZ urban central solid biomass CHP,CZ solid biomass,CZ,urban central solid biomass CHP,True,,,CZ urban central heat
DE urban central solid biomass CHP,DE solid biomass,DE,urban central solid biomass CHP,True,,,DE urban central heat
DK urban central solid biomass CHP,DK solid biomass,DK,urban central solid biomass CHP,True,,,DK urban central heat
EE urban central solid biomass CHP,EE solid biomass,EE,urban central solid biomass CHP,True,,,EE urban central heat
ES urban central solid biomass CHP,ES solid biomass,ES,urban central solid biomass CHP,True,,,ES urban central heat
FI urban central solid biomass CHP,FI solid biomass,FI,urban central solid biomass CHP,True,,,FI urban central heat
FR urban central solid biomass CHP,FR solid biomass,FR,urban central solid biomass CHP,True,,,FR urban central heat
GB urban central solid biomass CHP,GB solid biomass,GB,urban central solid biomass CHP,True,,,GB urban central heat
GBI urban central solid biomass CHP,GBI solid biomass,GBI,urban central solid biomass CHP,True,,,GBI urban central heat
GR urban central solid biomass CHP,GR solid biomass,GR,urban central solid biomass CHP,True,,,GR urban central heat
HR urban central solid biomass CHP,HR solid biomass,HR,urban central solid biomass CHP,True,,,HR urban central heat
HU urban central solid biomass CHP,HU solid biomass,HU,urban central solid biomass CHP,True,,,HU urban central heat
IE urban central solid biomass CHP,IE solid biomass,IE,urban central solid biomass CHP,True,,,IE urban central heat
IT urban central solid biomass CHP,IT solid biomass,IT,urban central solid biomass CHP,True,,,IT urban central heat
LT urban central solid biomass CHP,LT solid biomass,LT,urban central solid biomass CHP,True,,,LT urban central heat
LU urban central solid biomass CHP,LU solid biomass,LU,urban central solid biomass CHP,True,,,LU urban central heat
LV urban central solid biomass CHP,LV solid biomass,LV,urban central solid biomass CHP,True,,,LV urban central heat
ME urban central solid biomass CHP,ME solid biomass,ME,urban central solid biomass CHP,True,,,ME urban central heat
MK urban central solid biomass CHP,MK solid biomass,MK,urban central solid biomass CHP,True,,,MK urban central heat
NL urban central solid biomass CHP,NL solid biomass,NL,urban central solid biomass CHP,True,,,NL urban central heat
NO urban central solid biomass CHP,NO solid biomass,NO,urban central solid biomass CHP,True,,,NO urban central heat
PL urban central solid biomass CHP,PL solid biomass,PL,urban central solid biomass CHP,True,,,PL urban central heat
PT urban central solid biomass CHP,PT solid biomass,PT,urban central solid biomass CHP,True,,,PT urban central heat
RO urban central solid biomass CHP,RO solid biomass,RO,urban central solid biomass CHP,True,,,RO urban central heat
RS urban central solid biomass CHP,RS solid biomass,RS,urban central solid biomass CHP,True,,,RS urban central heat
SE urban central solid biomass CHP,SE solid biomass,SE,urban central solid biomass CHP,True,,,SE urban central heat
SI urban central solid biomass CHP,SI solid biomass,SI,urban central solid biomass CHP,True,,,SI urban central heat
SK urban central solid biomass CHP,SK solid biomass,SK,urban central solid biomass CHP,True,,,SK urban central heat
XK urban central solid biomass CHP,XK solid biomass,XK,urban central solid biomass CHP,True,,,XK urban central heat
AL urban central solid biomass CHP CC,AL solid biomass,AL,urban central solid biomass CHP CC,True,AL co2 stored,co2 atmosphere,AL urban central heat
AT urban central solid biomass CHP CC,AT solid biomass,AT,urban central solid biomass CHP CC,True,AT co2 stored,co2 atmosphere,AT urban central heat
BA urban central solid biomass CHP CC,BA solid biomass,BA,urban central solid biomass CHP CC,True,BA co2 stored,co2 atmosphere,BA urban central heat
BE urban central solid biomass CHP CC,BE solid biomass,BE,urban central solid biomass CHP CC,True,BE co2 stored,co2 atmosphere,BE urban central heat
BG urban central solid biomass CHP CC,BG solid biomass,BG,urban central solid biomass CHP CC,True,BG co2 stored,co2 atmosphere,BG urban central heat
